domain,Network Request (Per-Request),Network Request (Domain-Level),Cookies,Window Variables,Meta-Classifier,Combined Classifier
one.one,True,True,True,True,True,True
kaspersky.com,True,True,True,True,True,True
shopify.com,True,True,True,True,True,True
hubspot.com,True,True,True,True,True,True
linktr.ee,True,True,True,True,True,True
hp.com,True,True,True,True,True,True
drom.ru,True,True,True,True,True,True
booking.com,True,True,True,True,True,True
dell.com,True,True,True,True,True,True
indeed.com,True,True,True,True,True,True
wired.com,True,True,True,True,True,True
gitlab.com,True,True,True,True,True,True
eset.com,True,True,True,True,True,True
mobile.de,True,True,True,True,True,True
surveymonkey.com,True,True,True,True,True,True
ikea.com,True,True,True,True,True,True
deepl.com,True,True,True,True,True,True
mailchimp.com,True,True,True,True,True,True
qualtrics.com,True,True,True,True,True,True
nike.com,True,True,True,True,True,True
stackadapt.com,True,True,True,True,True,True
datadoghq.com,True,True,True,True,True,True
theverge.com,True,True,True,True,True,True
airbnb.com,True,True,True,True,True,True
sagepub.com,True,True,True,True,True,True
healthline.com,True,True,True,True,True,True
netgear.com,True,True,True,True,True,True
lefigaro.fr,True,True,True,True,True,True
mailchi.mp,True,True,True,True,True,True
agoda.com,True,True,True,True,True,True
cloudinary.com,True,True,True,True,True,True
jetbrains.com,True,True,True,True,True,True
frontiersin.org,True,True,True,True,True,True
coursera.org,True,True,True,True,True,True
kleinanzeigen.de,True,True,True,True,True,True
beget.com,True,True,True,True,True,True
wise.com,True,True,True,True,True,True
dmm.co.jp,True,True,True,True,True,True
newyorker.com,True,True,True,True,True,True
asu.edu,True,True,True,True,True,True
ixbt.com,True,True,True,True,True,True
moengage.com,True,True,True,True,True,True
tgju.org,True,True,True,True,True,True
marktplaats.nl,True,True,False,True,True,True
afternic.com,True,True,True,True,True,True
subito.it,True,True,True,True,True,True
bmj.com,True,True,True,True,True,True
emag.ro,True,True,True,True,True,True
zalando.de,True,True,True,True,True,True
xhaccess.com,True,True,True,True,True,True
xhamster1.desi,True,True,False,True,True,True
xhwide5.com,True,True,True,True,True,True
xhamster3.com,False,False,False,True,False,False
coingecko.com,True,True,True,True,True,True
sitescout.com,True,True,True,True,True,True
medicalnewstoday.com,True,True,True,True,True,True
fastcompany.com,True,True,True,True,True,True
lecturas.com,True,True,True,True,True,True
livechatinc.com,True,True,True,True,True,True
beget.ru,True,True,True,True,True,True
acronis.com,True,True,True,True,True,True
nextdoor.com,True,True,True,True,True,True
udemy.com,True,True,True,True,True,True
themeisle.com,False,False,True,True,True,False
vox.com,True,True,True,True,True,True
matterport.com,True,True,True,True,True,True
arstechnica.com,True,True,True,True,True,True
nordvpn.com,True,True,True,True,True,True
virginmedia.com,True,True,True,True,True,True
sfgate.com,False,False,True,True,True,True
one.com,True,True,True,True,True,True
wetransfer.com,True,True,True,True,True,True
asana.com,True,True,True,True,True,True
semrush.com,True,True,True,True,True,True
smh.com.au,False,False,True,True,False,False
mixcloud.com,True,True,True,True,True,True
crunchyroll.com,True,True,True,True,True,True
investing.com,True,True,True,True,True,True
theglobeandmail.com,True,True,True,True,True,True
thetimes.co.uk,True,False,True,True,True,True
xhcopy.life,True,True,True,True,True,True
fliphtml5.com,True,True,True,True,True,True
cookiebot.com,True,True,True,True,True,False
vogue.com,True,True,True,True,True,True
usercentrics.eu,True,True,True,True,True,True
vanityfair.com,True,True,True,True,True,True
nymag.com,True,True,True,True,True,True
getyourguide.com,True,True,True,True,True,True
mountain.com,True,True,True,True,True,True
cosmopolitan.com,True,True,True,True,True,True
esquire.com,True,True,True,True,True,True
elle.com,True,True,True,True,True,True
